"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "SVG", "CSS", "HTML", "TypeScript React", "YAML", "comment", "blank", "total"
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Element.d.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 0, 28
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Element.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 48
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Group.d.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 0, 27
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Group.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 102
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Path.d.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 56
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Path.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 205
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/PathData.d.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 0, 39
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/PathData.js", "JavaScript", 183, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 196
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Preview.d.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 0, 21
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Preview.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 61
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Previews.d.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 0, 15
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Previews.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 35
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Transform.d.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 0, 19
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/Transform.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 59
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Arc.d.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Arc.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 100
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Circle.d.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Circle.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 74
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Close.d.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 0, 23
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Close.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 47
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Command.d.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Command.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 83
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Curve.d.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 0, 45
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Curve.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 113
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Line.d.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 0, 36
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Line.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 69
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Move.d.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 0, 26
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Move.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 51
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Rect.d.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 0, 23
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/Rect.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 57
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/algorithms/catmullRomToBezier.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/algorithms/catmullRomToBezier.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 45
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/algorithms/index.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/algorithms/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/commands.d.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 0, 21
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/commands.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 41
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/index.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 0, 10
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/commands/index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/elements/Animate.d.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 0, 73
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/elements/Animate.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 165
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/elements/AnimateMotion.d.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 0, 59
"/mnt/Dev/Code/javascript/front-ends/drawings/drawer/lib/elements/AnimateMotion.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 164
